15 30
 204.0  148.0  188.0  185.0  154.0  278.0  107.0  304.0  382.0  420.0  401.0  205.0  149.0  142.0  433.0 
  54.0   30.0   93.0   39.0   63.0   91.0    1.0   30.0   13.0   16.0   62.0   78.0   38.0    5.0   28.0   99.0   24.0   18.0   71.0   53.0    0.0   79.0   73.0   40.0   50.0   40.0   72.0   60.0   91.0   58.0 
  75.0   11.0   97.0   73.0   35.0    1.0   64.0   45.0   32.0   76.0   42.0   11.0   10.0   55.0   32.0   99.0   56.0   71.0   89.0   74.0   84.0    5.0   16.0   71.0    5.0   78.0    6.0   61.0   95.0   15.0 
  99.0   94.0   66.0   15.0   82.0    8.0   28.0    0.0   87.0   86.0    9.0   70.0   41.0   51.0   56.0   68.0   28.0   38.0   41.0   64.0   51.0   30.0   80.0   57.0   37.0   22.0   11.0   21.0   48.0   26.0 
  20.0   26.0   84.0   28.0   41.0   37.0   15.0   61.0   91.0   61.0   36.0   29.0   76.0   27.0   19.0   82.0   81.0   35.0   33.0   63.0   65.0   53.0   52.0   26.0   96.0   23.0   35.0   41.0   25.0   29.0 
  60.0   72.0    2.0   22.0   65.0   32.0   55.0   86.0   31.0   21.0   50.0   21.0    1.0   92.0   12.0   31.0   34.0   32.0    3.0    9.0    1.0   21.0   65.0   43.0   38.0   23.0   53.0   46.0   89.0   18.0 
  16.0   69.0   90.0   97.0   54.0   20.0   42.0   25.0   70.0    1.0   55.0   48.0   29.0   54.0   98.0   73.0   53.0   82.0   73.0   45.0   53.0   78.0   64.0   71.0   69.0   27.0   20.0    1.0   59.0   25.0 
  37.0   36.0   50.0   31.0   52.0   33.0   29.0   11.0   72.0   77.0   86.0   38.0   35.0   35.0    3.0   17.0   93.0   38.0   92.0   33.0   76.0   22.0   91.0   20.0   27.0   14.0   37.0   50.0   55.0   20.0 
  23.0   83.0    2.0   80.0   21.0   42.0   68.0   41.0   64.0   29.0   22.0   73.0   88.0   46.0   45.0   64.0    7.0   26.0   75.0   38.0   19.0   75.0   81.0   29.0    4.0   24.0   25.0   61.0   58.0   89.0 
   1.0   12.0   87.0   13.0   83.0   47.0   49.0   66.0   36.0    3.0    7.0   70.0   36.0   85.0   32.0   40.0   79.0   56.0   69.0   28.0   28.0    4.0   61.0   50.0   99.0   14.0   65.0   53.0   66.0   59.0 
  81.0   10.0   99.0   19.0   33.0   52.0   56.0   29.0   73.0   47.0   98.0   60.0   79.0   61.0   72.0   39.0   24.0   28.0   75.0   28.0   83.0   14.0   25.0   59.0   45.0   34.0   25.0   26.0   99.0    8.0 
  24.0    7.0   19.0   99.0   96.0   37.0   65.0   40.0   83.0   23.0   72.0   85.0   56.0   43.0   56.0   42.0   70.0   61.0   52.0   91.0   91.0   92.0   20.0   75.0   67.0   25.0   21.0   81.0   28.0   56.0 
  14.0   86.0    2.0   39.0   33.0   51.0   49.0    6.0   38.0   21.0   75.0    1.0   57.0   45.0   36.0   78.0   38.0   56.0   22.0   69.0   45.0   91.0   14.0   53.0   98.0   27.0   33.0   15.0   91.0    7.0 
  49.0   23.0   63.0   22.0   97.0   18.0    4.0   92.0   81.0   25.0   37.0   64.0   27.0   57.0   29.0   57.0   47.0   40.0   23.0   30.0   96.0   79.0   79.0   60.0   27.0   78.0   93.0   41.0   57.0   21.0 
  60.0   52.0   58.0   88.0   62.0   57.0   67.0   27.0   26.0   41.0    8.0   72.0   41.0   69.0   77.0   28.0   72.0   67.0   64.0   63.0    2.0   65.0   36.0   91.0   37.0   78.0   41.0   99.0   94.0   98.0 
  58.0   94.0   95.0   86.0   98.0   97.0   33.0   74.0   17.0   98.0   96.0   18.0   86.0   14.0   93.0   43.0   53.0   59.0   42.0   55.0    4.0   93.0   43.0   49.0   17.0   94.0   86.0   41.0   30.0   53.0 
  99.0
 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75
   1   1   1   1   1   1   1   2   2   2   2   1   1   1   2
   2   2   2   2   2   2   2   3   4   4   3   2   2   2   3

