10 20
 329.0  144.0  408.0  202.0  369.0  440.0  195.0  162.0  174.0  197.0 
   8.0    9.0   35.0   60.0   63.0   96.0   51.0   81.0   10.0   95.0   69.0   38.0    6.0   42.0   41.0   80.0   86.0   46.0    8.0   65.0 
  85.0    0.0   21.0   80.0   44.0   72.0   36.0   66.0   62.0   61.0   79.0   29.0    8.0   89.0   17.0   82.0   31.0   94.0   56.0   57.0 
   5.0    4.0   65.0   82.0   67.0   38.0   34.0   17.0    2.0   92.0   98.0   95.0   85.0   91.0   21.0   63.0   62.0   87.0    3.0    8.0 
  49.0   65.0   94.0   46.0   47.0   51.0   53.0   78.0   26.0   44.0   17.0   10.0   45.0   87.0   34.0    4.0   49.0   61.0   11.0   13.0 
  42.0   59.0   46.0   16.0   62.0   26.0   71.0   70.0    0.0   54.0   43.0   41.0   25.0    2.0   99.0   82.0   39.0   15.0   71.0   19.0 
   8.0   77.0   29.0   18.0   74.0   25.0    0.0   98.0   71.0   72.0   53.0   75.0   65.0   92.0   22.0   84.0   46.0   92.0   18.0   32.0 
  87.0   26.0   56.0   78.0   32.0   34.0    8.0   28.0   78.0   39.0   87.0   28.0   20.0   54.0   77.0   75.0    5.0   18.0   81.0   89.0 
  93.0   68.0   47.0   31.0    5.0   12.0   21.0   37.0   26.0   83.0   88.0   99.0   67.0   37.0   90.0   38.0    3.0   82.0   77.0    4.0 
  62.0   91.0   46.0   45.0   91.0   97.0   12.0   59.0   74.0   25.0   99.0   51.0   94.0   69.0   50.0   87.0   55.0    5.0   33.0   25.0 
  84.0   25.0   75.0   88.0   44.0   71.0   95.0    6.0   41.0   26.0    9.0   93.0   82.0   84.0   73.0   79.0   95.0   29.0   76.0   22.0 
  99.0
 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75
   0   0   0   0   0   0   0   0   0   0
   3   2   3   2   3   3   2   2   2   2

