20 40
2772.0 1265.0 1608.0 3663.0 1660.0 2763.0 2584.0 1008.0 1333.0 4485.0 2439.0 2248.0 1333.0  704.0 3432.0 4935.0 1045.0 4001.0 1964.0 2574.0 
  89.0   30.0   89.0   32.0   41.0   75.0   36.0   86.0   64.0    4.0   45.0   92.0   69.0   65.0   65.0   37.0   81.0   91.0   82.0   63.0   80.0   48.0   60.0   20.0   49.0   76.0   86.0   99.0   17.0   34.0   13.0   86.0   99.0   40.0    7.0   96.0   44.0   22.0   85.0   26.0 
  14.0   41.0   31.0   96.0   39.0   74.0   31.0   59.0   74.0    8.0   69.0    7.0   50.0   62.0   24.0   44.0   59.0   68.0   15.0   22.0   18.0   38.0   75.0    7.0   40.0   35.0   14.0   49.0    0.0   40.0   91.0   53.0    8.0   22.0   82.0   45.0   75.0    6.0   49.0   40.0 
  99.0   30.0   65.0   49.0   52.0   86.0   76.0   49.0   34.0   19.0   80.0   90.0   79.0   82.0   24.0   12.0   25.0   47.0   62.0   16.0   12.0   96.0   43.0   63.0   74.0   16.0    9.0   66.0   33.0   94.0   84.0   83.0   90.0    9.0   73.0   12.0   26.0   25.0   53.0   83.0 
  56.0   31.0   18.0   39.0   12.0   66.0    2.0   34.0   95.0   36.0    1.0   83.0   99.0   25.0   87.0   86.0   31.0   77.0    7.0   11.0   34.0   12.0    5.0   11.0    6.0   46.0   37.0   45.0   16.0   11.0   89.0   96.0   24.0   72.0    2.0   90.0    2.0   44.0   83.0   15.0 
  50.0   67.0    8.0   16.0   77.0   56.0   75.0   69.0   14.0   50.0   15.0   62.0   53.0   14.0   21.0   52.0    4.0   78.0   80.0   80.0   37.0   83.0   10.0   21.0   31.0   24.0    9.0   27.0   13.0   94.0   93.0   68.0    2.0   29.0   48.0   79.0   57.0   47.0   64.0    3.0 
  76.0   32.0   56.0   10.0   65.0   74.0   76.0   16.0   16.0   15.0   73.0    1.0   61.0   60.0   17.0   85.0   52.0   64.0   34.0   22.0   28.0   99.0   68.0   70.0   83.0   21.0   57.0   54.0   39.0   44.0   96.0   38.0    8.0    1.0    9.0   97.0   67.0   21.0   16.0   78.0 
  59.0   88.0   65.0   65.0   98.0   60.0   53.0   34.0   57.0   18.0   15.0   77.0   37.0   42.0   27.0    6.0   39.0   96.0   11.0   10.0   55.0   23.0   29.0   59.0   65.0   39.0   76.0   88.0   26.0   24.0   73.0   97.0   73.0   19.0   62.0   42.0    4.0   19.0    1.0   27.0 
  14.0   16.0   48.0    3.0   89.0   37.0   14.0    2.0   65.0   15.0   52.0   41.0   43.0   14.0   54.0   47.0   35.0   31.0   37.0   38.0   89.0   10.0   58.0   43.0    5.0   68.0   38.0   20.0   54.0    8.0   79.0   74.0   97.0   43.0   79.0   75.0    2.0    7.0   57.0   82.0 
  65.0   97.0    2.0   54.0   68.0    0.0   15.0   24.0   63.0   96.0   68.0   15.0   20.0   84.0   38.0    5.0    9.0   84.0   23.0   67.0   42.0   81.0   82.0    8.0   15.0   67.0   85.0   19.0   54.0   91.0   52.0   14.0   58.0   93.0   96.0   75.0   43.0   57.0   70.0   97.0 
  13.0   54.0   84.0   87.0    4.0   37.0    0.0   98.0   18.0   43.0   52.0   43.0    6.0   30.0   11.0   11.0   76.0   14.0   89.0   87.0   58.0   38.0    2.0   16.0   76.0   43.0   46.0   78.0   12.0   36.0   61.0   48.0   79.0   57.0   99.0   72.0   90.0   51.0   98.0   36.0 
   5.0   44.0   80.0   22.0   49.0   26.0   81.0    8.0    2.0   40.0   68.0   54.0   16.0   43.0   66.0   33.0   12.0   22.0   64.0   92.0   70.0   84.0    5.0   45.0   24.0   48.0   86.0   68.0   52.0   43.0   45.0   91.0   78.0    0.0   59.0   92.0   56.0   46.0   37.0   95.0 
  88.0   20.0   17.0   81.0   50.0   60.0   61.0   42.0   53.0    9.0   38.0   91.0   20.0   21.0   65.0   79.0   65.0   30.0    3.0   52.0    4.0   67.0   83.0   59.0   83.0   85.0   17.0   81.0   91.0   69.0   26.0   43.0   78.0   63.0   48.0   34.0   81.0   83.0   66.0   28.0 
  85.0   42.0   61.0   39.0   97.0   34.0   29.0   73.0    7.0   82.0   67.0   78.0   11.0   81.0   16.0   58.0   56.0   77.0   42.0   86.0   87.0    9.0   79.0   57.0   88.0   59.0   73.0   21.0   27.0   88.0   26.0   37.0    1.0   83.0   38.0    8.0   77.0    3.0   54.0   32.0 
  66.0   59.0   63.0   14.0   73.0    3.0   12.0   81.0   62.0   20.0   55.0   31.0   95.0   50.0   38.0   43.0   98.0   78.0   10.0   24.0   31.0    3.0   87.0   82.0   60.0    8.0   23.0   90.0   19.0   25.0   78.0   59.0   86.0    7.0   87.0    2.0   44.0   98.0   28.0    8.0 
  66.0    1.0   89.0   10.0   84.0   61.0   55.0   43.0   48.0   50.0   98.0   37.0   43.0   50.0    9.0   12.0   62.0   90.0   32.0   27.0    0.0   36.0   61.0   77.0   47.0   86.0   30.0   87.0   82.0   63.0   13.0    2.0   69.0    8.0   10.0   83.0   46.0   75.0   47.0    1.0 
  20.0   40.0   49.0   53.0   47.0   58.0   90.0   80.0   48.0   85.0   14.0   31.0    6.0   94.0   83.0    3.0   41.0   59.0    6.0   55.0   28.0   80.0   55.0   29.0   16.0   96.0   86.0   68.0   48.0    7.0   57.0   33.0   79.0   92.0   47.0   24.0   92.0   26.0   77.0   99.0 
  21.0   34.0   41.0   13.0   36.0   51.0   22.0   69.0   23.0   98.0   80.0   78.0   89.0   74.0   45.0   11.0   21.0   31.0   50.0   64.0   36.0   22.0   77.0    7.0   15.0   43.0   97.0   23.0   58.0   77.0   21.0   56.0   19.0   39.0   35.0   52.0   55.0   15.0   50.0    1.0 
  94.0   10.0   92.0   95.0   34.0   76.0   72.0   20.0   20.0   72.0   38.0   38.0   78.0   23.0   58.0    5.0   87.0   59.0   37.0   18.0   47.0   84.0   85.0   81.0   43.0   48.0   84.0   80.0   23.0   12.0   61.0   45.0   58.0   19.0   51.0   23.0   15.0   59.0   69.0   43.0 
   0.0   86.0   23.0   92.0   22.0   28.0   65.0   67.0   75.0   77.0    0.0   46.0   47.0   82.0   91.0   74.0   49.0   29.0   23.0   76.0   13.0   35.0   97.0   58.0   82.0   38.0   22.0   92.0    6.0   97.0   13.0   17.0   36.0   79.0   79.0   31.0   17.0   59.0   24.0   81.0 
  67.0   27.0   74.0   40.0    9.0   75.0   98.0   70.0   23.0   20.0   27.0   53.0    7.0    1.0   11.0   63.0   18.0   60.0   20.0   87.0   92.0   59.0   61.0   43.0   64.0   99.0    0.0   96.0   83.0   41.0   77.0   81.0   36.0   22.0   27.0   19.0   60.0   77.0   98.0   36.0 
  99.0
 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   2   2   2   4   2   3   3   2   2   4   2   2   2   2   3   4   2   4   2   2

