30 75
2109.0  867.0 1037.0 2075.0 1676.0 2136.0  533.0  886.0 1780.0  300.0 2139.0 1656.0  825.0  536.0  261.0  940.0  801.0 1204.0 2100.0  980.0 1361.0 1166.0 1927.0 1211.0  891.0 1586.0  966.0 1175.0 2162.0  961.0 
   0.0   96.0   57.0   61.0   91.0   15.0   67.0   10.0   19.0    8.0   19.0    1.0   11.0   52.0   84.0   85.0   91.0   68.0   45.0   56.0   60.0   91.0    7.0   79.0   96.0   96.0   29.0   78.0   63.0    4.0   75.0   95.0   47.0   50.0   79.0   25.0   13.0   18.0   33.0    6.0   67.0   55.0   95.0   95.0   57.0   41.0   10.0   92.0   71.0   36.0   54.0   55.0   74.0   96.0   98.0   66.0   48.0   51.0   88.0   75.0   60.0   56.0   41.0    9.0   43.0   16.0   67.0   55.0    2.0   68.0    7.0    0.0   34.0   42.0   83.0 
   6.0   48.0   59.0    8.0   82.0   39.0   18.0   18.0   39.0   18.0   59.0   88.0   67.0   96.0   44.0   25.0   81.0   64.0   19.0   65.0   57.0   55.0   10.0    4.0   26.0    6.0   61.0   27.0    8.0    5.0    8.0   30.0   87.0   31.0    8.0   37.0   30.0    1.0    4.0    7.0   55.0   92.0   35.0   42.0   35.0   72.0   95.0   77.0   54.0   16.0   27.0   77.0   98.0   22.0   69.0   20.0   98.0   14.0   36.0   73.0   12.0   42.0   55.0   68.0   49.0   81.0   36.0   63.0   43.0   12.0   87.0    6.0   67.0    9.0   79.0 
  73.0   73.0   60.0    5.0   98.0   49.0   99.0   31.0   67.0   22.0   22.0    5.0   10.0   36.0   64.0   83.0   57.0   49.0   79.0   10.0   18.0   36.0   29.0   57.0   29.0   11.0   38.0   74.0   68.0   65.0   21.0   70.0   46.0   30.0   79.0    0.0   53.0   50.0   58.0   81.0   85.0   80.0   87.0   22.0   38.0    4.0   77.0   71.0   64.0   63.0   87.0   87.0    0.0   12.0   69.0   24.0   71.0   91.0   69.0   38.0   51.0   13.0    8.0   10.0    1.0   72.0   24.0   90.0   74.0   75.0   86.0   62.0   85.0   85.0   74.0 
  68.0   32.0   94.0   37.0   57.0   48.0   46.0   47.0   92.0   62.0   79.0   13.0   84.0   72.0   66.0   93.0   88.0   37.0   35.0   88.0   73.0   50.0   58.0   60.0   82.0   53.0   31.0   89.0   81.0   92.0   52.0   84.0   11.0   19.0   87.0   26.0   27.0   40.0   33.0   64.0   31.0    3.0   77.0   51.0    3.0   31.0   44.0   20.0   20.0   98.0   40.0   14.0   74.0   51.0   94.0   46.0   84.0   74.0   83.0   18.0   92.0   92.0   63.0   68.0   67.0   31.0   86.0   76.0   93.0    6.0   11.0    1.0   54.0   64.0   12.0 
  43.0   70.0   51.0    6.0   36.0   22.0    4.0   26.0   12.0   45.0   69.0    0.0   80.0    5.0   48.0   41.0   71.0   80.0   74.0   49.0   84.0   57.0   34.0   29.0   44.0   12.0   21.0   69.0   85.0   45.0   96.0   95.0   50.0   96.0   71.0   87.0    7.0   18.0   15.0   72.0   88.0   31.0   70.0   76.0   44.0   36.0   98.0   53.0   18.0   99.0   33.0   80.0   40.0    7.0   63.0   20.0   38.0   91.0   23.0   52.0   69.0   15.0   13.0   76.0   69.0   39.0   32.0   80.0   20.0   49.0   26.0   79.0   38.0   50.0   65.0 
  75.0   30.0   17.0   22.0   75.0   42.0    1.0   82.0   91.0   60.0   47.0    2.0   58.0   34.0   86.0   22.0   11.0   19.0   53.0   10.0   83.0   72.0   87.0   78.0   48.0   33.0   63.0   88.0    4.0    5.0   84.0   49.0    8.0   27.0    1.0   15.0   45.0   36.0   84.0   71.0   49.0   30.0   41.0   14.0   61.0   23.0   71.0   28.0   35.0   85.0   68.0   56.0   89.0   90.0   67.0   58.0   94.0   48.0   31.0   71.0   11.0   31.0   87.0   57.0   72.0    0.0    0.0   49.0    3.0   16.0   95.0   87.0   92.0   52.0   21.0 
  49.0   20.0   25.0   78.0   38.0   28.0   91.0   69.0   40.0   24.0   59.0   79.0   67.0   30.0   99.0    9.0   21.0   46.0   99.0    7.0   68.0   12.0   92.0   14.0   70.0   99.0   56.0   42.0   95.0   17.0   80.0   61.0   95.0   32.0   97.0    7.0   48.0   17.0   94.0   12.0   72.0    8.0   76.0   48.0    8.0   89.0   16.0   93.0   72.0   88.0   60.0   16.0   70.0   98.0   10.0   76.0   94.0   11.0   67.0   48.0   71.0   78.0   54.0   60.0   96.0   77.0   94.0   50.0   22.0   14.0   70.0   50.0   26.0   26.0   46.0 
  46.0   32.0   41.0   28.0   79.0   58.0   29.0   62.0   80.0   80.0   21.0   56.0   96.0   60.0   55.0    2.0   35.0   86.0   42.0   39.0   11.0    2.0   78.0   77.0   78.0   70.0   56.0   58.0   63.0   86.0   67.0   67.0   95.0   33.0    0.0   79.0   16.0   78.0   31.0   62.0    2.0   17.0    5.0    9.0   64.0   58.0   22.0   24.0   50.0   56.0   99.0   48.0   39.0   80.0   45.0   33.0   29.0   35.0   15.0   50.0   17.0   24.0   64.0   54.0   76.0   47.0   96.0   78.0   23.0   58.0    3.0   87.0   81.0   48.0    3.0 
  92.0   43.0    2.0   43.0   83.0   57.0   59.0   82.0   88.0   30.0   31.0   96.0   50.0   35.0   46.0   23.0   10.0   84.0   58.0   28.0   68.0   17.0   43.0   55.0   64.0   72.0   10.0   52.0   67.0   14.0   30.0   59.0   97.0   34.0   88.0   73.0   54.0   24.0   49.0   73.0   76.0   11.0   46.0   20.0    2.0   66.0   86.0   23.0   70.0   79.0   73.0   75.0   22.0    5.0   52.0   57.0   32.0   78.0   73.0    7.0   52.0   89.0   66.0   70.0   79.0   45.0   47.0    0.0   34.0   78.0   32.0   44.0   71.0   44.0   76.0 
  87.0   55.0   99.0   95.0   70.0    8.0   30.0    9.0   40.0   22.0   58.0   45.0   89.0   68.0   47.0   88.0   97.0   27.0   19.0   54.0   37.0   59.0    3.0   34.0   17.0   64.0   33.0   25.0   75.0   41.0   77.0   60.0    5.0   36.0   24.0   32.0   38.0   87.0   99.0    6.0   62.0   62.0   39.0   31.0   85.0   89.0    0.0   43.0   45.0   83.0   10.0   63.0   61.0   63.0   73.0   84.0   26.0   68.0    5.0   61.0   49.0   58.0   26.0   84.0   39.0   19.0   87.0   56.0   29.0   57.0   42.0   52.0   47.0   82.0   68.0 
