10 20
 840.0  789.0 1090.0  739.0  563.0  207.0  671.0  834.0  300.0  437.0 
  34.0   36.0   82.0    9.0   84.0   98.0   52.0   32.0   91.0   99.0   84.0   80.0    7.0   94.0   84.0   30.0   13.0   24.0   60.0   11.0 
  78.0   73.0   64.0   10.0   72.0    0.0    8.0   63.0   27.0   81.0   86.0   99.0   37.0    1.0    0.0    0.0   53.0   47.0   20.0   58.0 
  31.0   11.0   81.0   63.0   77.0   89.0   63.0   70.0   60.0   58.0   63.0   99.0   12.0   80.0   40.0   74.0   32.0   28.0   53.0    6.0 
  70.0   99.0   74.0   80.0   81.0   11.0   56.0   61.0   43.0   12.0   60.0   41.0   75.0   12.0   27.0   26.0   64.0    7.0   28.0   31.0 
  45.0   32.0    6.0   78.0   92.0   90.0   74.0   22.0   26.0   95.0   72.0   53.0   46.0   11.0   72.0   50.0   69.0   98.0   30.0   88.0 
   9.0   35.0   62.0   97.0   85.0   16.0   29.0   32.0   81.0   19.0   79.0   45.0   49.0   20.0   82.0   56.0   50.0   11.0   30.0   94.0 
  50.0   81.0   61.0   45.0   61.0   90.0   82.0   42.0   40.0    5.0   47.0   45.0   14.0   31.0   68.0   67.0   41.0   44.0    4.0   88.0 
  22.0   92.0   87.0   17.0   81.0   45.0   53.0   21.0   44.0   10.0   32.0   30.0    3.0   89.0   18.0   76.0   20.0   32.0   74.0   94.0 
  70.0   64.0   51.0    9.0   63.0   55.0   69.0   17.0   18.0   80.0   76.0   33.0   40.0   65.0   23.0   43.0   86.0   81.0   47.0   81.0 
  25.0   26.0   36.0   47.0   85.0   90.0   83.0   83.0    3.0   95.0   58.0   21.0   37.0   57.0   21.0   53.0   37.0   88.0    7.0   27.0 
  99.0
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
   1   1   1   1   1   1   1   1   1   1
   2   2   2   2   2   2   2   2   2   2

