10 20
1548.0 1270.0 1792.0  338.0 1554.0  468.0  565.0  437.0 2280.0 1824.0 
  95.0   53.0   43.0   30.0   52.0    3.0   10.0   21.0   50.0   75.0   99.0   24.0   16.0    8.0   84.0    3.0   46.0   98.0   11.0   99.0 
  48.0   93.0   17.0    9.0   40.0   78.0    8.0   98.0   32.0   13.0   39.0   98.0   60.0    3.0    0.0   34.0   79.0   36.0   73.0   16.0 
  64.0   94.0   78.0    1.0   74.0    9.0   14.0   25.0   56.0   41.0   38.0   17.0    8.0   15.0   90.0   94.0   37.0   57.0    4.0   28.0 
  51.0   19.0   11.0   44.0   93.0   78.0   85.0    0.0   22.0   73.0   90.0   96.0   84.0   52.0   40.0   86.0   67.0   12.0   47.0   17.0 
  92.0   81.0   55.0   13.0   10.0   27.0   94.0   45.0   14.0   51.0    7.0    6.0   20.0   99.0   94.0   41.0   65.0   75.0   26.0   61.0 
  31.0   34.0   35.0   86.0   91.0    4.0   61.0   28.0   89.0   30.0   44.0   68.0   95.0   73.0   78.0   11.0   99.0   69.0    7.0   72.0 
  71.0   14.0   20.0   71.0   26.0   75.0   88.0   55.0   39.0   60.0    7.0   17.0   24.0   99.0   21.0   18.0   55.0   89.0   57.0   15.0 
  71.0   83.0   71.0   53.0   18.0   97.0   23.0   25.0   19.0   94.0   20.0   47.0   41.0    9.0    3.0   35.0   79.0   97.0   81.0   42.0 
  32.0   17.0   84.0    8.0   85.0   49.0   25.0   32.0   44.0   29.0   85.0   24.0   83.0   87.0   47.0   72.0   52.0    3.0   26.0   67.0 
  56.0   19.0   44.0    8.0   47.0   26.0   56.0   30.0   23.0   19.0    1.0    0.0   15.0    4.0    6.0    9.0   63.0   77.0   58.0   82.0 
  99.0
 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
   1   1   1   1   1   1   1   1   1   1
   2   2   2   2   2   2   2   2   2   2

