20 50
2551.0 6785.0 3802.0 2031.0 5283.0 4008.0 1697.0 1844.0  936.0 3692.0 2636.0 1986.0 4476.0 1923.0 3126.0 2626.0  555.0 1660.0 3161.0  443.0 
  62.0   42.0   57.0   33.0   52.0   10.0   85.0   36.0   47.0   86.0   44.0   75.0   48.0   85.0   46.0   84.0   80.0   38.0   85.0   21.0   13.0   13.0   60.0   94.0   81.0   35.0   95.0   74.0   97.0    1.0   51.0   16.0   80.0    2.0   53.0   75.0   63.0   40.0    1.0   31.0   20.0   50.0   97.0    0.0   82.0   11.0   54.0   58.0   55.0   75.0 
  35.0   23.0   80.0   27.0   27.0   62.0   46.0   51.0   30.0   45.0   37.0    0.0   46.0   70.0   44.0   23.0   16.0   72.0   69.0   27.0   64.0   68.0   71.0   27.0   43.0    3.0    6.0   83.0   75.0   91.0   75.0   48.0   99.0   59.0   67.0   11.0   14.0   93.0   98.0   37.0   19.0   77.0   63.0   19.0   62.0   42.0   73.0   12.0   78.0    9.0 
  12.0   34.0    4.0   31.0   19.0   70.0   89.0   11.0   35.0   39.0   19.0   62.0   52.0   70.0   39.0   21.0   66.0   78.0   36.0   93.0   44.0   26.0    0.0   19.0   92.0    0.0   97.0   44.0   29.0   72.0   38.0   88.0   49.0   74.0   44.0   12.0   93.0   64.0   19.0   87.0   19.0   95.0   16.0   65.0   67.0   85.0    6.0   46.0   34.0   81.0 
  56.0   96.0   29.0   51.0   77.0   85.0    4.0   60.0   76.0    6.0   47.0   54.0   52.0   31.0   58.0   35.0    2.0   64.0   79.0   32.0   12.0   35.0   87.0   98.0   51.0   90.0   90.0    1.0   65.0   92.0   22.0   17.0   70.0    7.0   30.0   28.0   47.0    3.0   76.0   11.0   35.0   43.0   25.0   36.0   24.0   75.0   41.0   57.0   50.0   31.0 
  15.0   30.0   95.0    5.0    0.0    9.0   22.0   19.0   18.0    9.0   99.0   68.0   24.0    9.0   79.0   74.0   51.0   30.0    0.0   61.0   20.0   54.0    0.0   73.0   69.0   39.0   42.0   90.0   62.0   44.0   25.0   51.0   13.0   42.0    8.0   69.0    7.0   41.0   28.0   53.0   11.0    6.0   15.0   25.0    1.0   70.0   18.0   37.0   76.0   60.0 
  27.0   53.0   51.0   96.0   43.0   33.0    5.0   60.0   41.0   13.0   43.0   41.0   94.0    1.0    2.0   64.0   41.0   48.0   13.0   68.0   35.0   96.0   39.0   53.0   90.0   13.0   25.0   22.0   16.0   44.0   38.0   21.0   71.0   52.0   11.0   91.0    2.0   62.0   88.0    1.0   85.0    4.0   68.0    3.0   76.0   59.0   45.0   68.0   48.0   99.0 
  34.0    1.0   77.0   61.0   75.0   67.0   89.0   51.0   96.0   66.0   55.0   50.0   26.0   35.0   15.0   97.0   84.0   54.0   84.0    5.0   47.0   14.0   16.0   37.0   18.0   91.0   81.0   71.0   96.0    7.0   24.0   68.0   42.0    4.0   40.0   42.0   52.0   13.0   42.0   31.0   23.0   18.0   28.0   62.0   20.0   31.0   50.0   21.0   50.0   55.0 
  63.0   73.0   81.0   68.0   54.0   40.0   46.0   31.0   86.0   24.0   15.0   48.0   96.0   47.0   96.0   27.0   35.0   56.0    5.0   49.0   59.0   13.0   62.0   59.0   24.0   93.0   84.0   61.0   81.0   76.0   79.0    7.0   69.0   40.0   39.0    0.0    9.0   56.0   37.0   79.0   95.0   82.0   14.0   17.0   92.0   53.0   80.0   13.0   28.0   81.0 
  60.0   53.0   26.0   30.0   16.0   66.0   75.0   69.0    6.0   97.0   48.0    4.0   48.0   89.0   32.0   31.0   57.0   24.0   74.0   99.0   65.0   46.0   95.0   24.0   38.0   72.0   12.0    6.0   97.0   17.0   54.0   55.0   34.0   12.0   82.0    0.0   34.0   19.0    9.0   17.0   92.0   53.0   15.0   42.0   29.0    2.0   70.0   91.0   18.0   41.0 
  18.0   46.0   33.0   57.0   79.0    5.0   89.0   19.0   92.0   73.0   92.0    9.0   78.0   72.0   45.0   68.0   35.0   43.0   98.0   78.0   75.0   98.0   92.0   12.0   77.0   58.0   99.0   75.0   21.0   96.0   71.0   48.0   39.0   86.0   82.0   31.0   57.0   42.0   69.0   89.0   36.0   63.0   78.0   93.0   19.0   80.0   10.0   64.0   73.0   94.0 
  25.0   14.0   78.0   82.0   88.0   67.0   29.0   54.0   45.0   44.0   79.0   29.0   40.0    8.0   24.0   51.0   67.0    2.0   48.0   28.0   38.0   14.0   86.0   99.0   53.0   54.0   93.0    7.0   68.0   14.0   18.0   64.0   65.0   42.0   67.0   21.0   17.0    9.0   75.0   36.0   61.0   79.0   74.0   44.0   66.0   76.0   60.0   26.0    1.0   54.0 
  88.0   86.0   34.0   94.0   67.0    0.0    5.0   75.0   41.0   90.0   55.0   33.0   99.0   12.0   50.0    8.0   34.0   14.0   11.0   28.0   39.0   26.0    1.0    1.0   99.0   60.0   24.0   12.0   86.0   98.0   18.0   15.0   49.0   88.0   45.0   26.0   15.0   37.0   90.0   18.0   74.0    7.0   53.0   14.0   82.0    8.0   39.0   82.0   46.0   87.0 
