30 90
3815.0 4854.0 2353.0 4496.0 3207.0 4876.0 1405.0 3058.0 2121.0 5204.0 1585.0 1236.0 4512.0 2693.0 2734.0 4429.0  794.0 4771.0 4559.0 3309.0 2544.0 2085.0 1967.0 2946.0 3700.0 1897.0  716.0 3449.0 1897.0 5064.0 
  28.0   19.0   76.0   65.0    7.0   78.0   75.0   57.0   84.0   83.0   57.0   17.0   79.0   35.0   35.0   61.0   40.0   36.0   44.0   37.0   62.0   45.0   53.0    5.0   50.0   38.0   24.0   11.0   20.0   48.0   12.0   59.0   53.0   12.0   17.0   73.0   81.0    1.0   62.0   53.0   28.0   52.0   39.0   22.0   90.0   86.0   73.0   77.0   54.0   27.0   53.0   20.0   71.0   12.0   91.0   92.0   62.0   92.0   30.0   99.0   78.0   28.0   98.0   31.0   94.0   86.0    0.0   72.0   54.0   20.0   63.0   10.0   57.0   48.0   12.0   35.0   86.0   26.0    3.0   33.0   82.0   15.0   89.0   74.0   62.0   37.0   37.0   95.0   78.0   34.0 
  13.0   79.0   38.0   89.0   78.0   22.0   37.0   39.0   88.0   81.0   24.0   23.0    7.0   38.0   45.0   91.0   25.0   77.0   97.0   86.0   73.0   47.0    0.0   92.0    5.0   43.0   38.0    1.0   49.0    7.0   72.0   94.0   24.0   45.0   13.0   42.0   32.0   60.0   78.0   33.0   16.0   16.0   99.0    7.0   82.0    4.0   14.0   16.0   95.0   41.0   18.0    2.0   45.0   79.0   86.0   94.0   77.0   36.0   69.0   23.0   92.0   47.0   45.0   53.0   17.0   30.0   57.0   36.0   44.0   74.0    9.0   85.0   37.0   46.0   29.0   61.0    8.0   11.0    6.0   80.0   60.0   81.0   97.0   48.0    4.0   72.0   96.0   98.0   38.0   90.0 
  34.0    5.0   88.0   66.0   62.0    8.0   71.0   65.0   12.0   16.0   73.0   80.0   76.0   74.0   45.0   50.0   58.0   13.0   24.0    4.0   97.0   91.0   22.0   98.0   67.0   79.0   96.0   99.0   77.0   92.0   29.0   10.0   69.0   64.0   92.0   46.0    4.0   64.0    1.0   40.0   41.0   53.0   75.0    9.0   17.0   98.0   80.0   50.0    9.0   11.0   71.0   89.0    5.0   50.0   27.0   68.0   54.0   47.0   78.0   79.0   19.0   95.0   27.0   41.0   20.0   67.0   68.0   21.0   72.0   85.0   93.0   95.0   19.0   30.0   98.0   61.0   54.0    1.0   76.0   88.0   40.0    6.0   11.0   10.0   27.0   14.0   65.0   69.0   51.0   32.0 
  83.0   91.0   60.0   19.0   96.0   74.0   84.0   90.0   98.0   14.0   98.0   49.0   19.0   18.0   99.0    5.0   75.0   87.0   66.0   50.0   13.0   62.0   43.0   57.0   86.0   27.0   50.0   48.0   45.0   84.0    4.0   28.0   43.0    0.0   62.0   90.0   68.0   22.0   86.0   87.0   83.0   55.0   19.0   73.0   98.0   15.0   91.0   18.0   49.0   49.0   28.0   78.0   99.0   26.0   99.0   53.0   67.0   87.0   63.0   97.0   59.0   79.0   50.0    5.0   33.0   45.0   49.0   69.0   75.0   89.0   24.0   96.0   92.0    6.0   42.0    7.0   33.0   89.0   25.0   91.0   17.0   91.0   13.0   34.0   91.0   68.0   58.0   25.0   95.0   86.0 
   8.0   16.0   84.0   75.0   26.0   14.0   69.0   78.0   97.0   39.0   75.0   62.0   78.0   99.0   53.0   81.0   63.0   94.0   93.0   62.0    4.0   55.0   92.0   17.0   70.0   72.0   70.0   45.0   61.0   23.0   16.0   28.0   59.0   89.0   98.0   24.0   20.0   71.0   94.0   48.0   15.0   94.0   86.0   54.0   16.0    4.0   88.0    7.0   18.0   71.0   16.0   45.0   12.0   65.0   12.0   42.0    0.0   49.0   98.0   60.0   49.0   44.0   86.0   99.0    0.0    6.0   25.0   31.0    6.0   84.0   94.0   42.0   24.0   78.0   36.0   56.0   52.0   89.0   40.0   59.0   99.0   62.0   64.0   13.0    9.0   26.0    2.0   66.0   27.0   23.0 
  75.0   99.0   17.0   95.0   24.0   86.0   38.0   37.0   97.0   28.0   67.0   55.0   68.0   47.0   66.0   55.0   71.0   61.0   66.0   97.0   59.0   64.0   31.0   14.0   24.0   19.0   90.0   39.0   92.0   75.0   38.0   56.0   79.0    1.0    5.0   65.0   22.0   38.0   94.0   75.0   79.0   70.0   92.0    2.0   91.0   13.0   41.0   99.0   22.0   28.0   85.0    0.0   60.0   42.0   84.0   76.0   92.0    2.0   96.0   19.0   43.0   34.0   26.0   45.0   89.0   27.0   50.0    6.0   35.0   39.0   98.0   29.0   62.0   18.0   16.0   74.0   46.0   39.0   88.0    7.0   39.0   64.0   36.0   91.0   28.0   21.0   77.0    1.0   56.0   99.0 
  69.0   91.0   32.0   86.0   44.0   38.0   80.0    7.0   46.0   44.0   19.0   65.0   66.0    3.0   81.0   91.0   14.0   94.0   63.0   13.0   63.0   15.0   92.0   49.0   79.0   81.0   79.0   40.0   52.0   53.0   70.0   32.0   19.0   17.0   91.0    1.0   76.0    0.0   86.0   18.0   92.0   40.0   45.0   59.0    9.0   91.0   34.0   63.0   42.0   73.0   10.0   32.0   67.0   72.0   37.0   66.0    7.0   77.0   88.0   58.0    9.0   60.0   50.0   17.0   19.0   10.0   16.0   46.0   45.0   94.0   71.0   57.0   18.0   82.0   76.0   34.0   45.0   94.0   42.0   35.0   55.0   11.0    0.0   45.0   41.0   15.0   61.0   64.0   96.0   81.0 
  38.0   49.0   20.0   56.0   42.0   21.0    7.0   77.0   76.0   87.0   83.0   29.0   23.0    4.0    1.0   49.0   86.0   98.0   25.0   10.0    0.0   50.0   33.0   17.0   76.0   37.0   40.0   61.0   51.0   52.0   34.0   42.0   66.0   88.0   40.0   69.0   55.0   94.0   93.0   20.0   64.0   96.0   37.0   77.0   73.0   89.0   38.0   23.0   52.0   98.0   20.0   16.0   27.0    6.0   16.0   24.0   66.0   54.0   41.0   34.0   86.0    3.0   79.0   29.0   76.0   76.0   95.0   29.0   42.0   57.0   60.0    9.0   66.0   66.0   99.0   79.0   93.0   98.0   57.0   34.0   21.0   37.0   78.0   76.0   27.0   35.0   13.0   99.0    1.0   56.0 
  51.0   55.0   99.0    0.0   91.0   84.0   72.0   63.0   51.0   94.0   16.0   33.0   48.0   23.0   95.0   67.0   72.0   92.0   95.0   61.0   69.0   69.0   95.0   43.0   52.0   30.0   81.0   45.0   66.0    8.0    3.0   89.0   89.0   48.0   78.0   46.0   84.0   40.0   34.0    5.0   91.0   56.0    3.0   29.0   61.0   82.0   49.0    2.0   38.0   35.0   48.0   76.0   81.0   81.0    6.0    5.0   34.0   46.0   27.0   82.0   33.0   17.0   19.0   60.0   65.0   38.0   42.0   72.0   65.0    5.0   12.0   44.0   57.0   48.0   33.0   99.0   42.0    9.0   81.0   64.0   28.0   14.0   35.0   55.0    2.0   42.0   42.0   71.0   49.0   80.0 
   7.0   99.0   20.0    7.0   67.0   67.0   97.0   37.0   37.0   53.0   53.0   96.0   75.0   77.0   96.0    7.0    5.0   29.0   10.0   22.0   60.0   11.0   68.0   43.0    2.0    0.0   97.0   77.0   95.0   31.0   24.0   93.0   66.0   89.0   86.0   10.0   16.0   37.0    7.0    1.0   13.0   45.0   48.0    8.0   49.0   49.0   24.0   88.0   66.0   26.0   85.0   71.0   49.0   86.0   75.0   34.0   91.0   83.0   55.0    1.0   25.0   49.0   90.0   57.0   23.0   39.0   12.0   80.0   71.0    2.0   51.0   96.0    1.0   69.0   31.0   49.0    2.0   53.0   34.0   92.0   97.0   83.0   41.0   94.0   82.0   36.0   31.0   70.0   48.0    8.0 
