30 60
 873.0  573.0 1847.0 1471.0  812.0 1087.0  955.0  653.0 1943.0 1025.0 1606.0  805.0 1771.0  790.0 1459.0 1979.0  732.0  633.0  493.0 1712.0  738.0  336.0  552.0  953.0  778.0  869.0 1767.0  892.0  521.0 1466.0 
  82.0    6.0   51.0   56.0   11.0   98.0   84.0   71.0   24.0   42.0   58.0   28.0   48.0   15.0   67.0    4.0   82.0   45.0   14.0   29.0    9.0   30.0   39.0   54.0   10.0    0.0   59.0   62.0   63.0   25.0   87.0   23.0   45.0   71.0   56.0   91.0   18.0   90.0   27.0   51.0   17.0   64.0   99.0   98.0   27.0   84.0    9.0   73.0   55.0   80.0   22.0   34.0   95.0   90.0   23.0   75.0   91.0   74.0   98.0   83.0 
  42.0   52.0   10.0   74.0   34.0   36.0   39.0   27.0   77.0   51.0   29.0   90.0   37.0   75.0   60.0   11.0    5.0   11.0   69.0   68.0   95.0   39.0   33.0   36.0   54.0   45.0   60.0   18.0   89.0    8.0    6.0   43.0   24.0   60.0   10.0   39.0   60.0   19.0   45.0   72.0   69.0   84.0   90.0   50.0   95.0    0.0   20.0    0.0   78.0   98.0   14.0   16.0    3.0   96.0   83.0   67.0   56.0   72.0   17.0   85.0 
  62.0   33.0   83.0   32.0   49.0   10.0   97.0   27.0   82.0   41.0   31.0   29.0    9.0   97.0   53.0    6.0   41.0   84.0   22.0    7.0   96.0   78.0   36.0   19.0   93.0   65.0   17.0   29.0   90.0   66.0   50.0   69.0   61.0   60.0   51.0   66.0   21.0    0.0   97.0   74.0   93.0   23.0   84.0   10.0   20.0   52.0   36.0   76.0   19.0   96.0   59.0   79.0   80.0   35.0   35.0   43.0    8.0   11.0   61.0   19.0 
   4.0   88.0    6.0   39.0   46.0   66.0   59.0   58.0   43.0   33.0   45.0   93.0   81.0   48.0   77.0    3.0   30.0   51.0   99.0   23.0   66.0   81.0   68.0   63.0   51.0   11.0    5.0   33.0    0.0    4.0    7.0   80.0   98.0   90.0   35.0   46.0    3.0   55.0   65.0   49.0    4.0   57.0   16.0   79.0   55.0   54.0   37.0   10.0   74.0   54.0   70.0   35.0   18.0   83.0   78.0   19.0   15.0   74.0   42.0   73.0 
  57.0    3.0    3.0   88.0   34.0   95.0   21.0   64.0   50.0   91.0   73.0   36.0   90.0   19.0   28.0   90.0   99.0    2.0   52.0   46.0   73.0   22.0   68.0   31.0   50.0   47.0   18.0   88.0   89.0   86.0   21.0   40.0   48.0   96.0   10.0   86.0   47.0   29.0   84.0   54.0   39.0   28.0   33.0   82.0   60.0   59.0   73.0   55.0   82.0   95.0   65.0   85.0   55.0   34.0   32.0   24.0   47.0   73.0   65.0   34.0 
  20.0   58.0   47.0   68.0   18.0   10.0   94.0   39.0   89.0   68.0   63.0   64.0   36.0   12.0    1.0   52.0   39.0   50.0   84.0   56.0   69.0   65.0   68.0   77.0   13.0   28.0   43.0   35.0   20.0   78.0   18.0   11.0   68.0   75.0   20.0   58.0   47.0   20.0   10.0   81.0   59.0   41.0   24.0   81.0   44.0   54.0   24.0   77.0   16.0   85.0   74.0   88.0   23.0   67.0   37.0   86.0   27.0    4.0   81.0   24.0 
  83.0   26.0   14.0   35.0   98.0   98.0   60.0   80.0   77.0   34.0   62.0   37.0   26.0   47.0    9.0   28.0   75.0   62.0    8.0   29.0   35.0   28.0   90.0   65.0   86.0   36.0   45.0   89.0   22.0   22.0   13.0   66.0   33.0   67.0   12.0   42.0   31.0   95.0   10.0   10.0   18.0   55.0   48.0   69.0    5.0    8.0   92.0   80.0   69.0   97.0   49.0   11.0   50.0   22.0    5.0   77.0    3.0   95.0   25.0   77.0 
  23.0   59.0   54.0   16.0   44.0   10.0   41.0   12.0    5.0   65.0   19.0   99.0   92.0   96.0   76.0   98.0   81.0   48.0   74.0   19.0   98.0   68.0   24.0   19.0   52.0   58.0   14.0   99.0   28.0   52.0   28.0    4.0   58.0   97.0   13.0   48.0   54.0   69.0   30.0   60.0   10.0   97.0   64.0   40.0   80.0   12.0    5.0   48.0   17.0    9.0    4.0   96.0   81.0   31.0   87.0   70.0   23.0   75.0   48.0   66.0 
  87.0   10.0   33.0   63.0   43.0   25.0   64.0   73.0   46.0    4.0    4.0   73.0   26.0    9.0    1.0   87.0    7.0   45.0   61.0   93.0   34.0   38.0   89.0   41.0   82.0   55.0   32.0   26.0   70.0   65.0    5.0   95.0   65.0   55.0   19.0    6.0   74.0   74.0    0.0   22.0   40.0   33.0    1.0   56.0   25.0   41.0    8.0   58.0   87.0   91.0   41.0   42.0   54.0   85.0   48.0   63.0   87.0    7.0   92.0   32.0 
  74.0   74.0   48.0    8.0   44.0    8.0   61.0    6.0   18.0    1.0   47.0   51.0   24.0   83.0   91.0   56.0   51.0   63.0   40.0   53.0   25.0    7.0   59.0   91.0    4.0   95.0    8.0   99.0   86.0   46.0   42.0   15.0   43.0    6.0   21.0   93.0   67.0   10.0   47.0   68.0   43.0   13.0   17.0   95.0   32.0   83.0   92.0   58.0   78.0   71.0   89.0   45.0   31.0   49.0   88.0   93.0   92.0    7.0   62.0    0.0 
